"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8751","should validate my booking button","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","8198","should validate home URL","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","2891","should display error message for invalid email","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","3322","should display error message for invalid password","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","8256","should validate event redirection","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","3439","should display error message for empty email","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","2228","should display correct placeholders","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","10363","Allymar login test","auth-tests","2026-07-13","passed","2026-07-13","","auth\login1.spec.js","",""
"","3995","should display error message for empty email","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","2671","should display error message for duplicate email","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","1588","should validate event all redirection","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","8272","get started link","logged-in-tests","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","2848","should display error message for invalid email","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","4407","should display correct placeholders","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","4370","has title","logged-in-tests","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","8712","should validate browse events button","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","5594","@regression should login successfully with valid credentials","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","2904","should display error message for invalid confirm password","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","3354","should display error message for invalid password","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","4984","should validate explore all events redirection","logged-in-tests","2026-07-13","passed","2026-07-13","Home Page","home.spec.js","",""
"","5139","should display error message for empty password","auth-tests","2026-07-13","passed","2026-07-13","Login Page","auth\login.spec.js","",""
"","3029","should display error message for empty password","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","2446","should navigate to sign-in page when clicking on sign-in link","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","2523","@regression Registration form should be submitted successfully with valid data","auth-tests","2026-07-13","passed","2026-07-13","Registration Page","auth\registration.spec.js","",""
"","12785","should search events with keyword","logged-in-tests","2026-07-13","passed","2026-07-13","Event Page","event.spec.js","",""
